day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,rainfall,sunshine,winddirection,windspeed,agriculture_suitability,flood_occurence,intensity,advisory
20,1006.9,26.2,25.2,24.3,24.2,94,88,1,95.9,40,22.3,88,92,5.68,"Low rainfall, consider irrigation techniques"
21,1005.9,28.3,26.5,24.7,24.3,88,77,1,96.9,230,25.9,60,18,2.79,"Low rainfall, consider irrigation techniques"
22,1007.8,30.8,27.2,25.3,22.7,77,63,0,97.9,20,11.3,80,91,5.53,"Low rainfall, consider irrigation techniques"
23,1008.4,28.9,26.8,24.8,23.2,81,65,1,98.9,20,7.9,63,61,0.59,"Moderate rainfall, suitable for most crops"
24,1007.9,30.7,27.5,25.4,24.1,82,61,1,99.9,180,7.4,34,45,0.39,"Moderate rainfall, suitable for most crops"
25,1007.8,30.9,28.0,26.2,24.7,82,62,1,100.9,100,16.2,85,78,1.43,"Moderate rainfall, suitable for most crops"
26,1007.6,29.5,27.6,26.7,24.8,85,84,1,101.9,70,34.8,82,82,4.89,"Low rainfall, consider irrigation techniques"
27,1006.4,29.1,27.5,26.0,25.5,89,88,1,102.9,130,32.5,59,14,3.38,"Low rainfall, consider irrigation techniques"
28,1007.6,30.3,27.7,24.5,25.6,89,89,1,103.9,200,24.0,46,2,4.24,"Low rainfall, consider irrigation techniques"
29,1007.9,31.0,29.1,27.2,26.1,84,77,1,104.9,210,19.0,76,57,0.54,"Moderate rainfall, suitable for most crops"
30,1008.8,32.1,29.8,28.0,26.0,80,73,1,105.9,220,22.8,93,27,6.89,"Low rainfall, consider irrigation techniques"
31,1009.5,31.8,29.9,28.7,25.7,79,72,0,106.9,220,25.2,93,49,1.37,"Moderate rainfall, suitable for most crops"
1,1007.8,32.8,30.1,28.6,26.2,80,73,0,107.9,230,31.7,63,96,7.54,"Low rainfall, consider irrigation techniques"
2,1006.0,33.0,30.3,28.7,26.3,79,58,0,108.9,230,27.4,58,65,2.05,"Moderate rainfall, suitable for most crops"
3,1006.5,32.4,30.3,29.0,26.5,80,77,1,109.9,220,28.8,89,16,4.1,"Low rainfall, consider irrigation techniques"
4,1007.9,33.8,28.7,24.7,25.4,83,75,1,110.9,220,20.8,99,38,4.38,"Low rainfall, consider irrigation techniques"
5,1008.8,30.4,26.9,25.0,24.3,86,87,1,111.9,20,9.8,95,93,1.63,"Moderate rainfall, suitable for most crops"
6,1008.8,29.1,26.2,24.8,24.7,91,80,1,112.9,20,11.2,72,33,7.13,"Low rainfall, consider irrigation techniques"
7,1008.1,30.7,28.1,26.3,25.4,86,75,1,113.9,20,9.5,59,32,5.25,"Low rainfall, consider irrigation techniques"
8,1006.3,30.0,27.1,24.1,25.1,89,85,1,114.9,190,12.6,85,45,5.78,"Low rainfall, consider irrigation techniques"
9,1005.7,31.7,28.2,26.6,25.7,86,79,1,115.9,20,30.0,81,37,6.44,"Low rainfall, consider irrigation techniques"
10,1005.7,31.1,27.9,26.6,25.8,89,80,1,116.9,220,14.6,50,52,5.1,"Low rainfall, consider irrigation techniques"
11,1005.9,27.8,26.6,25.4,25.4,93,85,1,117.9,230,20.0,41,67,5.67,"Low rainfall, consider irrigation techniques"
12,1005.7,29.2,27.1,25.4,25.8,93,96,1,118.9,220,29.8,28,31,4.45,"Low rainfall, consider irrigation techniques"
13,1005.0,31.5,29.7,28.5,26.7,84,90,1,119.9,220,24.3,81,89,6.29,"Low rainfall, consider irrigation techniques"
14,1004.2,31.7,30.2,29.2,26.6,81,88,1,120.9,220,30.0,75,30,6.23,"Low rainfall, consider irrigation techniques"
15,1005.3,32.0,30.3,29.3,26.3,79,86,1,121.9,210,29.3,81,86,1.56,"Moderate rainfall, suitable for most crops"
16,1006.7,31.4,29.4,28.2,25.9,82,88,1,122.9,230,23.2,65,99,2.83,"Low rainfall, consider irrigation techniques"
17,1008.2,32.1,29.4,26.7,25.9,82,85,1,123.9,220,12.8,82,74,2.43,"Moderate rainfall, suitable for most crops"
18,1010.5,30.8,29.3,27.7,26.0,83,81,1,124.9,200,19.8,81,38,1.01,"Moderate rainfall, suitable for most crops"
19,1010.3,34.2,30.1,27.8,26.1,80,41,0,125.9,130,12.4,25,31,1.71,"Moderate rainfall, suitable for most crops"
20,1008.5,34.4,30.8,28.6,26.3,78,59,1,126.9,170,12.1,89,10,6.92,"Low rainfall, consider irrigation techniques"
21,1009.3,33.7,30.6,28.7,25.6,75,51,0,127.9,200,12.6,65,68,3.54,"Low rainfall, consider irrigation techniques"
22,1009.5,33.7,30.5,28.5,25.3,75,32,0,128.9,220,10.9,51,43,3.57,"Low rainfall, consider irrigation techniques"
23,1008.4,34.1,30.4,28.4,24.7,72,20,0,129.9,210,9.6,63,47,1.25,"Moderate rainfall, suitable for most crops"
24,1008.1,35.2,31.0,28.8,25.0,72,38,0,130.9,180,9.0,63,64,0.3,"Moderate rainfall, suitable for most crops"
25,1008.9,35.5,31.4,28.9,26.1,74,39,0,131.9,150,9.1,87,40,6.76,"Low rainfall, consider irrigation techniques"
26,1009.1,35.1,31.3,29.4,26.3,75,57,1,132.9,160,11.9,89,89,2.77,"Low rainfall, consider irrigation techniques"
27,1007.5,35.1,31.1,28.6,26.7,78,61,1,133.9,60,15.7,51,59,0.09,"Moderate rainfall, suitable for most crops"
28,1007.5,32.3,29.1,26.3,26.3,85,83,1,134.9,220,26.1,89,95,2.53,"Low rainfall, consider irrigation techniques"
29,1010.0,33.3,29.0,27.5,26.7,87,79,1,135.9,160,23.4,66,18,5.38,"Low rainfall, consider irrigation techniques"
30,1010.3,33.1,30.0,27.8,26.0,80,83,1,136.9,190,24.4,95,28,5.33,"Low rainfall, consider irrigation techniques"
1,1008.9,33.0,30.1,27.7,26.0,79,78,1,137.9,190,21.9,76,94,0.89,"Moderate rainfall, suitable for most crops"
2,1009.1,32.0,29.4,26.9,26.0,82,86,1,138.9,200,21.9,52,76,5.01,"Low rainfall, consider irrigation techniques"
3,1008.7,31.5,29.4,27.3,25.8,82,84,1,139.9,190,25.1,74,98,5.34,"Low rainfall, consider irrigation techniques"
4,1006.6,33.0,30.1,28.0,25.9,78,83,1,140.9,180,33.0,83,36,5.64,"Low rainfall, consider irrigation techniques"
5,1007.5,32.6,29.0,25.8,26.5,87,88,1,141.9,130,22.5,86,26,2.38,"Moderate rainfall, suitable for most crops"
6,1008.4,28.8,27.3,24.7,26.0,93,88,1,142.9,130,24.8,48,90,0.72,"Moderate rainfall, suitable for most crops"
7,1005.9,34.0,30.2,27.9,25.6,77,53,1,143.9,270,11.3,28,99,0.25,"Moderate rainfall, suitable for most crops"
8,1001.0,34.2,31.0,28.1,25.9,75,46,0,144.9,280,23.5,35,13,4.91,"Low rainfall, consider irrigation techniques"
9,999.0,35.6,31.5,26.4,26.4,75,57,1,145.9,280,25.0,73,86,6.01,"Low rainfall, consider irrigation techniques"
10,1000.3,31.3,28.6,26.2,25.0,81,88,1,146.9,240,18.8,76,17,2.25,"Moderate rainfall, suitable for most crops"
11,1002.2,31.1,28.9,26.1,26.1,85,89,1,147.9,240,19.8,55,44,7.59,"Low rainfall, consider irrigation techniques"
12,1003.8,29.0,28.1,27.0,25.1,84,88,1,148.9,230,16.3,96,64,1.98,"Moderate rainfall, suitable for most crops"
13,1005.0,31.7,28.6,25.6,26.1,87,82,1,149.9,160,12.6,73,4,1.78,"Moderate rainfall, suitable for most crops"
14,1006.8,30.3,28.9,26.4,26.2,86,83,1,150.9,230,14.3,75,4,1.1,"Moderate rainfall, suitable for most crops"
15,1007.0,33.0,30.2,28.6,26.4,81,78,1,151.9,230,22.4,86,37,1.94,"Moderate rainfall, suitable for most crops"
16,1008.1,33.2,30.6,29.0,26.4,79,69,1,152.9,240,25.1,82,65,1.18,"Moderate rainfall, suitable for most crops"
17,1008.5,33.2,30.6,29.0,26.2,78,69,0,153.9,230,23.7,46,79,6.45,"Low rainfall, consider irrigation techniques"
18,1007.5,32.4,30.4,28.7,25.3,74,72,1,154.9,230,23.7,98,75,3.29,"Low rainfall, consider irrigation techniques"
19,1007.9,32.3,29.9,26.7,25.8,79,78,1,155.9,220,25.1,49,43,4.07,"Low rainfall, consider irrigation techniques"
20,1009.8,31.9,29.2,25.6,25.6,82,70,1,156.9,220,22.6,98,76,3.55,"Low rainfall, consider irrigation techniques"
21,1010.9,33.3,30.0,27.5,25.3,76,49,1,157.9,220,12.3,98,14,4.27,"Low rainfall, consider irrigation techniques"
22,1010.3,32.9,30.0,28.1,25.2,76,29,0,158.9,240,14.5,76,17,6.14,"Low rainfall, consider irrigation techniques"
23,1008.9,32.8,30.0,28.0,25.4,77,32,0,159.9,250,21.6,88,83,2.31,"Moderate rainfall, suitable for most crops"
24,1008.4,34.0,30.4,28.0,24.6,72,21,0,160.9,240,16.0,44,66,4.96,"Low rainfall, consider irrigation techniques"
25,1008.6,35.0,30.8,28.3,25.5,74,28,0,161.9,130,8.3,89,31,5.7,"Low rainfall, consider irrigation techniques"
26,1008.3,32.0,29.4,27.0,26.4,84,57,1,162.9,60,17.5,42,26,7.68,"High rainfall, consider drainage systems"
27,1009.3,33.4,30.2,28.0,25.3,76,44,1,163.9,200,9.5,100,96,3.41,"Low rainfall, consider irrigation techniques"
28,1009.7,32.9,30.1,28.1,24.8,74,29,0,164.9,240,12.8,26,65,3.16,"Low rainfall, consider irrigation techniques"
